id,lemma
1591,окрыляться
1592,окрылиться
1593,воодушевлять
1594,воодушевить
1595,вдохновлять
1596,вдохновить
1597,воспламенять
1598,воспламенить
1599,зажигать
1600,зажечь
1601,окрылять
1602,окрылить
1603,воодушевляться
1604,воодушевиться
1605,вдохновляться
1606,вдохновиться
1607,зажигаться
1608,зажечься
1609,окрыляться
1610,окрылиться
1611,грустить
1612,взгрустнуться
1613,истосковаться
1614,печалиться
1615,опечалиться
1616,приуныть
1617,тосковать
1618,унывать
1619,печалить
1620,опечалить
1621,сокрушать
1622,сокрушить
1623,удручать
1624,удручить
1625,крушить
1626,печалиться
1627,опечалиться
1628,загрустить
1629,затуманиться
1630,отуманиться
1631,поникать
1632,поникнуть
1633,закручиниться
1634,пригорюниться
1635,взгрустнуться
1636,запечалиться
1637,погрустнеть
1638,сникать
1639,сникнуть
1640,приуныть
1641,поникать
1642,поникнуть
1643,понуриться
1644,сникать
1645,сникнуть
1646,хандрить
1647,захандрить
1648,нахохлиться
1649,скисать
1650,скиснуть
1651,скучнеть
1652,поскучнеть
1653,томиться
1654,истомиться
1655,изнемогать
1656,изнемочь
1657,изнывать
1658,изныть
1659,млеть
1660,надоедать
1661,надоесть
1662,наскучивать
1663,наскучить
1664,прискучивать
1665,прискучить
1666,приедаться
1667,приесться
1668,надоедать
1669,надоесть
1670,наскучить
1671,докучать
1672,донимать
1673,донять
1674,опостылеть
1675,осточертеть
1676,приедаться
1677,приесться
1678,прискучить
1679,скучать
1680,томиться
1681,скучать
1682,тосковать
1683,соскучиться
1684,истосковаться
1685,стосковаться
1686,мрачнеть
1687,помрачнеть
1688,омрачаться
1689,омрачиться
1690,темнеть
1691,потемнеть
1692,хохлиться
1693,нахохлиться
1694,омрачать
1695,омрачить
1696,отравлять
1697,отравить
1698,портить
1699,испортить
1700,помрачить
1701,тосковать
1702,затосковать
1703,скучать
1704,томиться
1705,истомиться
1706,угнетать
1707,давить
1708,подавлять
1709,подавить
1710,тяготить
1711,угнетать
1712,угрюмиться
1713,насупливаться
1714,хмуриться
1715,супиться
1716,влюбляться
1717,влюбиться
1718,пленяться
1719,плениться
1720,полюбить
1721,увлекаться
1722,увлечься
1723,заколдовывать
1724,заколдовать
1725,завораживать
1726,заворожить
1727,зачаровывать
1728,зачаровать
1729,околдовывать
1730,околдовать
1731,кокетничать
1732,заигрывать
1733,флиртовать
1734,ласкаться
1735,льнуть
1736,ластиться
1737,любить
1738,полюбить
1739,вздыхать
1740,жаловать
1741,любить
1742,боготворить
1743,обожать
1744,любить
1745,обожать
1746,полюбить
1747,привязываться
1748,привязаться
1749,возлюбить
1750,пленяться
1751,плениться
1752,прилепляться
1753,прилепиться
1754,полюбить
1755,влюбляться
1756,влюбиться
1757,увлекаться
1758,увлечься
1759,полюбить
1760,пристраститься
1761,приохотиться
1762,пристрастить
1763,приохотить
1764,понравиться
1765,полюбиться
1766,приглянуться
1767,симпатизировать
1768,благоволить
1769,увлекать
1770,увлечь
1771,завлекать
1772,завлечь
1773,привораживать
1774,приворожить
1775,присушивать
1776,присушить
1777,зазнобить
1778,увлекаться
1779,увлечься
1780,влюбляться
1781,влюбиться
1782,приворотить
1783,связываться
1784,связаться
1785,снюхиваться
1786,снюхаться
1787,спознаваться
1788,спознаться
1789,спутываться
1790,спутаться
1791,ухаживать
1792,приволокнуться
1793,бегать
1794,волочиться
1795,поволочиться
1796,приударять
1797,приударить
1798,возненавидеть
1799,невзлюбить
1800,разлюбить
1801,остыть
1802,охладеть
1803,опротиветь
1804,омерзеть
1805,опостылеть
1806,осатанеть
1807,осточертеть
1808,брезгать
1809,побрезгать
1810,брезговать
1811,побрезговать
1812,гнушаться
1813,погнушаться
1814,фыркать
1815,презирать
1816,третировать
1817,пренебрегать
1818,пренебречь
1819,игнорировать
1820,переступать
1821,переступить
1822,перешагивать
1823,перешагнуть
1824,попирать
1825,попрать
1826,презирать
1827,презреть
1828,манкировать
1829,плевать
1830,наплевать
1831,досадовать
1832,жалеть
1833,пожалеть
1834,сожалеть
1835,обижать
1836,обидеть
